#	id	0
it	O
lies	O
approximately	O
north	O
east	O
of	O
bolesławiec	B-LOC
,	O
and	O
west	O
of	O
the	O
regional	O
capital	O
wrocław	B-LOC
.	O

#	id	1
does	B-CW
anybody	I-CW
really	I-CW
know	I-CW
what	I-CW
time	I-CW
it	I-CW
is?	I-CW
(	O
single	O
version	O
)	O
(	O
lamm	O
)	O
–	O
3	O
:	O
19	O

#	id	2
amrish	B-PER
puri	I-PER
,	O
anupam	B-PER
kher	I-PER
,	O
mukesh	B-PER
khanna	I-PER
,	O
dalip	B-PER
tahil	I-PER
,	O
gulshan	B-PER
grover	I-PER
,	O
dina	B-PER
pathak	I-PER
and	O
jackie	B-PER
shroff	I-PER
are	O
also	O
featured	O
in	O
the	O
movie	O
.	O

#	id	3
wilds	O
himself	O
later	O
said	O
that	O
he	O
was	O
coached	O
to	O
say	O
that	O
he	O
first	O
saw	O
the	O
victim	O
's	O
body	O
at	O
a	O
certain	O
best	B-CORP
buy	I-CORP
.	O

#	id	4
he	O
scored	O
the	O
first	O
goal	O
of	O
a	O
famous	O
second	O
leg	O
home	O
comeback	O
victory	O
over	O
the	O
great	O
a.c.	B-GRP
milan	I-GRP
of	O
1996	O
(	O
3	O
0	O
)	O
.	O

#	id	5
some	O
designs	O
use	O
rigid	O
poles	O
,	O
typically	O
made	O
of	O
metal	B-PROD
,	O
or	O
sometimes	O
wood	B-PROD
.	O

#	id	6
it	O
is	O
based	O
on	O
pac-man	B-CW
and	O
its	O
derivatives	O
but	O
,	O
like	O
baby	B-CW
pac-man	I-CW
,	O
and	O
pac-man	B-CW
plus	I-CW
,	O
was	O
created	O
without	O
the	O
authorization	O
of	O
namco	B-CORP
.	O

#	id	7
in	O
1919	O
comenius	B-GRP
university	I-GRP
in	I-GRP
bratislava	I-GRP
was	O
founded	O
by	O
an	O
act	O
of	O
parliament	O
in	O
bratislava	B-LOC
,	O
czechoslovakia	B-LOC
,	O
now	O
in	O
slovakia	B-LOC
.	O

#	id	8
before	O
this	O
,	O
he	O
also	O
studied	O
history	O
in	O
tsinghua	B-GRP
university	I-GRP
(	O
in	O
beijing	B-LOC
)	O
during	O
1930	O
1932	O
.	O

#	id	9
the	O
romantic	O
comedy	O
film	O
two-faced	B-CW
woman	I-CW
starring	O
greta	B-PER
garbo	I-PER
(	O
in	O
her	O
final	O
role	O
)	O
and	O
melvyn	B-PER
douglas	I-PER
was	O
released	O
.	O

#	id	10
steven	B-PER
spielberg	I-PER
first	O
theatrical	O
release	O
,	O
the	B-CW
sugarland	I-CW
express	I-CW
,	O
was	O
set	O
in	O
and	O
partially	O
filmed	O
at	O
the	O
prison	O
.	O

#	id	11
in	O
2009	O
,	O
the	O
company	O
produced	O
watchmen	B-CW
,	O
an	O
adaptation	O
of	O
the	O
dc	B-CORP
comics	I-CORP
limited	O
series	O
watchmen	B-CW
.	O

#	id	12
a	O
nickname	O
given	O
by	O
hobbyist	O
for	O
yokomo	B-CORP

#	id	13
lsh	O
was	O
started	O
from	O
scratch	O
and	O
predates	O
openssh	B-CW
.	O

#	id	14
in	O
the	O
late	O
1970s	O
,	O
he	O
engineered	O
several	O
